config_id,components,lr,fold,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_seconds,total_params
1,5,0.01,1,1,1.8507772227489587,0.425,1.091814070109165,0.6442424242424243,8.167391300201416,117275
1,5,0.01,1,2,0.8861777525959593,0.7247727272727272,0.7861496733174179,0.7571212121212121,7.577244997024536,117275
1,5,0.01,1,3,0.6923889779322075,0.7956060606060606,0.6698740298820265,0.8018181818181818,6.113938331604004,117275
1,5,0.01,1,4,0.6029686510201656,0.8240151515151515,0.6068920532862345,0.8203030303030303,6.340703964233398,117275
1,5,0.01,1,5,0.5500474066084081,0.8401515151515152,0.5632391820531902,0.8368181818181818,6.018268346786499,117275
1,5,0.01,2,1,2.1100403808824946,0.3657575757575758,1.148016905784607,0.646969696969697,6.431787967681885,117275
1,5,0.01,2,2,0.937388099973852,0.7156818181818182,0.7769088060205633,0.7715151515151515,5.954413414001465,117275
1,5,0.01,2,3,0.718623048319961,0.7857575757575758,0.6460639072187019,0.811060606060606,6.457073926925659,117275
1,5,0.01,2,4,0.6225551004482038,0.8151515151515152,0.5775524123509725,0.8362121212121212,5.938760042190552,117275
1,5,0.01,2,5,0.5650290737368844,0.8318939393939394,0.5343877244718147,0.8481818181818181,6.253173112869263,117275
1,5,0.01,3,1,1.9314229846723152,0.4034090909090909,1.0996452645822006,0.6483333333333333,6.116618394851685,117275
1,5,0.01,3,2,0.8929685993628068,0.7229545454545454,0.7564982037110762,0.77,6.108136177062988,117275
1,5,0.01,3,3,0.6874669981002808,0.7970454545454545,0.6328128428531415,0.8124242424242424,6.269014835357666,117275
1,5,0.01,3,4,0.5970193861470078,0.828939393939394,0.5701885770667683,0.8292424242424242,5.928845405578613,117275
1,5,0.01,3,5,0.5452646128336589,0.8400757575757576,0.5254170872948386,0.8481818181818181,7.529426336288452,117275
2,5,0.01,1,1,2.6044959715640905,0.16590909090909092,2.168788556619124,0.26636363636363636,6.104358196258545,117275
2,5,0.01,1,2,1.9202463927413478,0.34613636363636363,1.6985762788310195,0.42318181818181816,6.422577142715454,117275
2,5,0.01,1,3,1.5438454336108582,0.48553030303030303,1.4068703558950713,0.5318181818181819,5.901750326156616,117275
2,5,0.01,1,4,1.305117264949914,0.5813636363636364,1.218125485795917,0.6122727272727273,6.5035481452941895,117275
2,5,0.01,1,5,1.1434970166466454,0.6453787878787879,1.089239987676794,0.6628787878787878,5.919828653335571,117275
2,5,0.01,2,1,2.5695593481352836,0.19393939393939394,2.0655010304306494,0.2962121212121212,6.1855878829956055,117275
2,5,0.01,2,2,1.815798825928659,0.39651515151515154,1.6237253758401582,0.4593939393939394,6.1500163078308105,117275
2,5,0.01,2,3,1.4701048221010151,0.5239393939393939,1.3583377183567393,0.5681818181818182,5.998002290725708,117275
2,5,0.01,2,4,1.2561818208116473,0.6031818181818182,1.185918872428663,0.6289393939393939,6.3332200050354,117275
2,5,0.01,2,5,1.1115546384002224,0.6536363636363637,1.0666650436141274,0.6712121212121213,5.896993637084961,117275
2,5,0.01,3,1,2.8080217335440896,0.15333333333333332,2.267469345150572,0.24515151515151515,6.3758533000946045,117275
2,5,0.01,3,2,2.0154015906651814,0.32196969696969696,1.7726844118580674,0.4056060606060606,5.89111590385437,117275
2,5,0.01,3,3,1.621926694060817,0.4515909090909091,1.4614784613522616,0.5115151515151515,6.455659627914429,117275
2,5,0.01,3,4,1.3693182455409656,0.5414393939393939,1.2578732766527119,0.588030303030303,5.9256675243377686,117275
2,5,0.01,3,5,1.198780315283573,0.6058333333333333,1.116881494811087,0.6430303030303031,6.16288948059082,117275
3,5,0.005,1,1,2.2599456972064393,0.2868181818181818,1.5172365718899352,0.5056060606060606,6.208186864852905,117275
3,5,0.005,1,2,1.249084315444484,0.6032575757575758,1.053965454968539,0.6701515151515152,5.969557285308838,117275
3,5,0.005,1,3,0.9452316503091291,0.7095454545454546,0.8622431203813263,0.733030303030303,6.376477956771851,117275
3,5,0.005,1,4,0.8016427008310953,0.7586363636363637,0.7589166816075643,0.7672727272727272,5.894011735916138,117275
3,5,0.005,1,5,0.7157987879984307,0.7847727272727273,0.6924807263143135,0.7893939393939394,6.419060945510864,117275
3,5,0.005,2,1,2.5664424373164323,0.23787878787878788,1.6658271926822084,0.4306060606060606,5.9218339920043945,117275
3,5,0.005,2,2,1.3463496562206383,0.5557575757575758,1.1246188445524736,0.6384848484848484,6.488195180892944,117275
3,5,0.005,2,3,0.9966471178603895,0.6862878787878788,0.8955185467546637,0.7207575757575757,5.937078952789307,117275
3,5,0.005,2,4,0.8335676410342707,0.7448484848484849,0.778805613301017,0.7603030303030303,6.192992448806763,117275
3,5,0.005,2,5,0.7405305819077925,0.7788636363636363,0.7029339182015621,0.7877272727272727,6.186872482299805,117275
3,5,0.005,3,1,2.36376965898456,0.26901515151515154,1.6617117072596694,0.4381818181818182,5.988178968429565,117275
3,5,0.005,3,2,1.3250627358031994,0.571060606060606,1.124299761165272,0.6492424242424243,6.289563417434692,117275
3,5,0.005,3,3,0.9770185039982652,0.7040151515151515,0.9065984928246701,0.7274242424242424,5.928215742111206,117275
3,5,0.005,3,4,0.8141075596664891,0.756439393939394,0.7877855105111093,0.7653030303030303,6.372847318649292,117275
3,5,0.005,3,5,0.7199842139446374,0.7890151515151516,0.7113711213343071,0.7906060606060606,5.878023862838745,117275
4,5,0.005,1,1,3.3011455596577037,0.09878787878787879,2.7766663268118195,0.13015151515151516,6.509794235229492,117275
4,5,0.005,1,2,2.557145820386482,0.17575757575757575,2.375203499071526,0.21878787878787878,5.874619722366333,117275
4,5,0.005,1,3,2.2025264156225957,0.2715909090909091,2.063721657810789,0.3148484848484848,6.244704246520996,117275
4,5,0.005,1,4,1.9246651389382101,0.36053030303030303,1.822200150345311,0.4066666666666667,6.142917633056641,117275
4,5,0.005,1,5,1.7094553167169744,0.4368939393939394,1.6348340931805698,0.4718181818181818,6.002254247665405,117275
4,5,0.005,2,1,2.8020892857060287,0.1640151515151515,2.331161624735052,0.2221212121212121,6.3304972648620605,117275
4,5,0.005,2,2,2.16045146595348,0.27310606060606063,1.99784029006958,0.3287878787878788,5.895671367645264,117275
4,5,0.005,2,3,1.8736336118524726,0.3740909090909091,1.7504248626304395,0.4216666666666667,6.440699577331543,117275
4,5,0.005,2,4,1.6583578401623351,0.45356060606060605,1.5635529625054563,0.49318181818181817,5.884891986846924,117275
4,5,0.005,2,5,1.4942068923603404,0.5159848484848485,1.4189404181278114,0.5462121212121213,6.431947231292725,117275
4,5,0.005,3,1,2.8241648055567885,0.13287878787878787,2.5142593788378167,0.16696969696969696,5.923510789871216,117275
4,5,0.005,3,2,2.301755195386482,0.21583333333333332,2.144203703331225,0.26136363636363635,6.162977933883667,117275
4,5,0.005,3,3,1.9714003545587713,0.31242424242424244,1.8599757662686434,0.35803030303030303,6.210321426391602,117275
4,5,0.005,3,4,1.7225395170847575,0.40825757575757576,1.647115051385128,0.4415151515151515,5.978683948516846,117275
4,5,0.005,3,5,1.5354675662878787,0.48757575757575755,1.48472947510806,0.5036363636363637,6.293771982192993,117275
5,10,0.01,1,1,2.0044916661580405,0.36742424242424243,1.3547814970305472,0.5931818181818181,15.629260063171387,312200
5,10,0.01,1,2,1.1121318941405325,0.6859090909090909,0.9648305236932003,0.728030303030303,16.770975589752197,312200
5,10,0.01,1,3,0.8530997761813077,0.7671969696969697,0.7985133970867504,0.7868181818181819,17.734158277511597,312200
5,10,0.01,1,4,0.7291392174634066,0.801969696969697,0.7074620897119696,0.8090909090909091,15.807229995727539,312200
5,10,0.01,1,5,0.6562872052192688,0.8208333333333333,0.6500560399257775,0.826969696969697,15.824895858764648,312200
5,10,0.01,2,1,2.1748629148078686,0.2938636363636364,1.4613115255760425,0.5466666666666666,15.615474700927734,312200
5,10,0.01,2,2,1.201528550494801,0.6411363636363636,1.0099646533619273,0.7134848484848485,15.558125972747803,312200
5,10,0.01,2,3,0.9088431292591673,0.7466666666666667,0.8242965295820526,0.7734848484848484,15.569401741027832,312200
5,10,0.01,2,4,0.7704923967881636,0.7890909090909091,0.72309615835999,0.7995454545454546,15.886973142623901,312200
5,10,0.01,2,5,0.689040585864674,0.8126515151515151,0.6580066105813691,0.8162121212121212,15.56212854385376,312200
5,10,0.01,3,1,2.12086529601704,0.32492424242424245,1.4127281925894997,0.5525757575757576,15.619506597518921,312200
5,10,0.01,3,2,1.1542259222088438,0.6559090909090909,0.9793562974351825,0.7207575757575757,15.744998693466187,312200
5,10,0.01,3,3,0.8767808889620232,0.7559090909090909,0.7996313271378026,0.7753030303030303,15.785876035690308,312200
5,10,0.01,3,4,0.7446511124119614,0.8024242424242424,0.6996876734675783,0.8096969696969697,15.63816499710083,312200
5,10,0.01,3,5,0.6661794643691091,0.8242424242424242,0.6379353008848249,0.8265151515151515,15.55650544166565,312200
6,10,0.01,1,1,2.770725335785837,0.10416666666666667,2.389916806943489,0.1640909090909091,15.579874753952026,312200
6,10,0.01,1,2,2.2142187667615487,0.2312121212121212,2.036607526143392,0.3106060606060606,15.564206838607788,312200
6,10,0.01,1,3,1.9023993890935724,0.37492424242424244,1.7710080927068537,0.4309090909090909,15.562841653823853,312200
6,10,0.01,1,4,1.6685536248756176,0.4775757575757576,1.5728782399495442,0.5198484848484849,15.656014919281006,312200
6,10,0.01,1,5,1.4914153403946848,0.551969696969697,1.4208130850936427,0.578939393939394,15.73590087890625,312200
6,10,0.01,2,1,2.385570103038441,0.17075757575757575,2.172508739413637,0.21333333333333335,15.740208864212036,312200
6,10,0.01,2,2,2.0072079290043225,0.27856060606060606,1.864753185041023,0.3421212121212121,15.643006086349487,312200
6,10,0.01,2,3,1.7410453708244094,0.3968181818181818,1.6312585863922582,0.4546969696969697,15.562617301940918,312200
6,10,0.01,2,4,1.5391959051652389,0.49606060606060604,1.4533933275396174,0.541060606060606,15.652949571609497,312200
6,10,0.01,2,5,1.384399897257487,0.5700757575757576,1.3161969051939069,0.6001515151515151,15.66973328590393,312200
6,10,0.01,3,1,2.477853199929902,0.13712121212121212,2.2203925939039753,0.2015151515151515,15.578673124313354,312200
6,10,0.01,3,2,2.0644131936448993,0.2637878787878788,1.8961941065932766,0.33893939393939393,15.648847579956055,312200
6,10,0.01,3,3,1.7820184089198257,0.3868939393939394,1.6573472011450565,0.45454545454545453,15.78890609741211,312200
6,10,0.01,3,4,1.572594027519226,0.4875,1.4786381553881096,0.5390909090909091,15.726171255111694,312200
6,10,0.01,3,5,1.4141582134998205,0.5623484848484849,1.3424556801535867,0.5898484848484848,15.640625,312200
7,10,0.005,1,1,2.5812086845166755,0.16007575757575757,1.9947126319191673,0.3046969696969697,15.620710849761963,312200
7,10,0.005,1,2,1.678703348275387,0.4481818181818182,1.430769889715946,0.5731818181818182,15.585102558135986,312200
7,10,0.005,1,3,1.2661287432005912,0.6359090909090909,1.1454494346271862,0.6871212121212121,15.572378396987915,312200
7,10,0.005,1,4,1.0491666635600003,0.7146212121212121,0.9831316774541682,0.7371212121212121,15.566704750061035,312200
7,10,0.005,1,5,0.9182263102675929,0.7518181818181818,0.8789618334625706,0.7622727272727273,15.702355861663818,312200
7,10,0.005,2,1,2.2532467941804364,0.2573484848484848,1.7365206017638697,0.42363636363636364,15.70932936668396,312200
7,10,0.005,2,2,1.5100818191875112,0.5292424242424243,1.3092400654879484,0.6134848484848485,15.718257427215576,312200
7,10,0.005,2,3,1.1941219692519216,0.6583333333333333,1.0820139652309995,0.6987878787878787,15.60053563117981,312200
7,10,0.005,2,4,1.0146971773378777,0.724469696969697,0.9439476588278106,0.741969696969697,15.579793691635132,312200
7,10,0.005,2,5,0.9007812976837158,0.759090909090909,0.8526694844708298,0.7668181818181818,15.576111316680908,312200
7,10,0.005,3,1,2.2761429182688393,0.22863636363636364,1.8619756710168087,0.38196969696969696,16.2048020362854,312200
7,10,0.005,3,2,1.5993695172396574,0.4990909090909091,1.3959819256175647,0.5871212121212122,15.673432350158691,312200
7,10,0.005,3,3,1.2531898631471576,0.6382575757575758,1.1391206723993474,0.678939393939394,15.776078701019287,312200
7,10,0.005,3,4,1.0549933483383873,0.7075,0.985449993465886,0.7357575757575757,15.801342487335205,312200
7,10,0.005,3,5,0.9290118375691501,0.7499242424242424,0.883883529215148,0.7666666666666667,15.644458532333374,312200
8,10,0.005,1,1,2.614325622211803,0.12628787878787878,2.383360109040231,0.17363636363636364,15.565484285354614,312200
8,10,0.005,1,2,2.2828483801177053,0.1965909090909091,2.17677264993841,0.24075757575757575,15.5771005153656,312200
8,10,0.005,1,3,2.1026734617984655,0.26045454545454544,2.0153380393981934,0.30636363636363634,15.543903112411499,312200
8,10,0.005,1,4,1.951662863818082,0.3278030303030303,1.8747911071777343,0.3613636363636364,15.57936429977417,312200
8,10,0.005,1,5,1.819690682960279,0.3815909090909091,1.7522797665451513,0.408030303030303,15.56387186050415,312200
8,10,0.005,2,1,2.682061586668997,0.14174242424242425,2.375027876189261,0.1937878787878788,15.743536472320557,312200
8,10,0.005,2,2,2.2746630084875856,0.2290151515151515,2.1759289342706856,0.26575757575757575,15.812728643417358,312200
8,10,0.005,2,3,2.0976593442396685,0.29772727272727273,2.022516351179643,0.33590909090909093,15.676151752471924,312200
8,10,0.005,2,4,1.9507107919635194,0.35878787878787877,1.888255379705718,0.3903030303030303,15.57814073562622,312200
8,10,0.005,2,5,1.8228683161013055,0.4071969696969697,1.7705752884257924,0.4340909090909091,15.563673973083496,312200
8,10,0.005,3,1,2.702677058017615,0.10613636363636364,2.4218436310508036,0.14166666666666666,15.55592679977417,312200
8,10,0.005,3,2,2.311490134903879,0.18166666666666667,2.2215903267715915,0.2128787878787879,15.612409114837646,312200
8,10,0.005,3,3,2.1342612262205645,0.2501515151515151,2.0566832169619476,0.2728787878787879,15.605298042297363,312200
8,10,0.005,3,4,1.9813990171027906,0.3137878787878788,1.912935058709347,0.33545454545454545,15.674113988876343,312200
8,10,0.005,3,5,1.8473477643908875,0.36613636363636365,1.786817699056683,0.3893939393939394,15.805226564407349,312200
9,15,0.01,1,1,2.114206355412801,0.30954545454545457,1.5820388304103505,0.525,31.909688472747803,584775
9,15,0.01,1,2,1.3409580730669426,0.6245454545454545,1.1496709393009994,0.6878787878787879,31.849565744400024,584775
9,15,0.01,1,3,1.039881802255457,0.7290909090909091,0.9418128077911608,0.7568181818181818,31.972161769866943,584775
9,15,0.01,1,4,0.882497883348754,0.7737121212121212,0.8216509324854071,0.791969696969697,31.986679553985596,584775
9,15,0.01,1,5,0.7861360036965572,0.7985606060606061,0.7444975766991124,0.8115151515151515,31.895390272140503,584775
9,15,0.01,2,1,2.2059280743743432,0.2506060606060606,1.666367640061812,0.4763636363636364,31.933921098709106,584775
9,15,0.01,2,2,1.3898973600792162,0.600909090909091,1.18826544602712,0.6874242424242424,31.983760833740234,584775
9,15,0.01,2,3,1.0600616463747892,0.7312121212121212,0.9695652248642661,0.7581818181818182,31.8696391582489,584775
9,15,0.01,2,4,0.8932349210796934,0.7768181818181819,0.8424776944247159,0.7927272727272727,31.871956825256348,584775
9,15,0.01,2,5,0.7922111764821139,0.8033333333333333,0.762959792397239,0.8087878787878788,32.0358350276947,584775
9,15,0.01,3,1,2.090865869811087,0.31333333333333335,1.5905871189001834,0.5210606060606061,31.94750738143921,584775
9,15,0.01,3,2,1.3394440486214378,0.6215909090909091,1.1640090360063495,0.6792424242424242,31.865312814712524,584775
9,15,0.01,3,3,1.036490477070664,0.7268181818181818,0.9559261801748564,0.7474242424242424,31.93368673324585,584775
9,15,0.01,3,4,0.8795410599853053,0.7734848484848484,0.8384960683909329,0.7756060606060606,31.97592329978943,584775
9,15,0.01,3,5,0.7832975724249175,0.8032575757575757,0.758466599854556,0.8004545454545454,31.904046297073364,584775
10,15,0.01,1,1,2.5987232884493743,0.11325757575757575,2.2789328502886224,0.1653030303030303,31.90520405769348,584775
10,15,0.01,1,2,2.1845865564635307,0.19977272727272727,2.0355683690851385,0.2724242424242424,32.03364372253418,584775
10,15,0.01,1,3,1.9631010254946621,0.3034090909090909,1.8351644950924497,0.37196969696969695,31.908066034317017,584775
10,15,0.01,1,4,1.7806054160089204,0.3975,1.6711884768803915,0.46454545454545454,31.842831134796143,584775
10,15,0.01,1,5,1.6297663064436478,0.484469696969697,1.5352181960597182,0.5392424242424242,32.02068877220154,584775
10,15,0.01,2,1,2.4699773609276976,0.19575757575757577,2.122996828772805,0.2381818181818182,31.92045783996582,584775
10,15,0.01,2,2,2.0183282683112402,0.2875,1.9094840384974625,0.3443939393939394,31.867758989334106,584775
10,15,0.01,2,3,1.8219726649197665,0.39371212121212124,1.7352407045075389,0.4395454545454546,31.954604864120483,584775
10,15,0.01,2,4,1.6610691940423215,0.4793939393939394,1.5908872001821344,0.5127272727272727,31.986177921295166,584775
10,15,0.01,2,5,1.5280103731155394,0.5442424242424242,1.4719969391100334,0.5609090909090909,32.05423831939697,584775
10,15,0.01,3,1,2.5978788234248307,0.09931818181818182,2.3135080976197213,0.16045454545454546,31.89797306060791,584775
10,15,0.01,3,2,2.204597471410578,0.21401515151515152,2.068981524814259,0.27515151515151515,31.99048399925232,584775
10,15,0.01,3,3,1.9801620373581394,0.32196969696969696,1.8704693974870623,0.37242424242424244,31.89138436317444,584775
10,15,0.01,3,4,1.7963929255803426,0.4143181818181818,1.7071928267045455,0.4509090909090909,31.858405828475952,584775
10,15,0.01,3,5,1.6449544584389888,0.48128787878787876,1.571719202706308,0.5201515151515151,31.998560667037964,584775
11,15,0.005,1,1,2.313515430941726,0.17886363636363636,1.9767930069836703,0.3151515151515151,31.949644804000854,584775
11,15,0.005,1,2,1.756078483986132,0.43492424242424244,1.5693276939970073,0.5227272727272727,31.874499797821045,584775
11,15,0.005,1,3,1.4284527677478212,0.5916666666666667,1.3173925311637646,0.6292424242424243,31.92665433883667,584775
11,15,0.005,1,4,1.2196520874717018,0.6740151515151516,1.1505385540470932,0.6898484848484848,32.03834414482117,584775
11,15,0.005,1,5,1.0791616827068906,0.7227272727272728,1.0332848634141865,0.7307575757575757,31.87345290184021,584775
11,15,0.005,2,1,2.5234309300509365,0.13643939393939394,2.145519022219109,0.2403030303030303,31.91737174987793,584775
11,15,0.005,2,2,1.896994314916206,0.3637121212121212,1.6777539043715506,0.4793939393939394,31.989938259124756,584775
11,15,0.005,2,3,1.5272289315136995,0.5429545454545455,1.38806693611723,0.6,31.88130235671997,584775
11,15,0.005,2,4,1.2930997149149577,0.6380303030303031,1.2007812518784493,0.6707575757575758,31.84055805206299,584775
11,15,0.005,2,5,1.1359122004653468,0.6931060606060606,1.0695673588550452,0.7143939393939394,32.02092719078064,584775
11,15,0.005,3,1,2.273123920614069,0.23681818181818182,1.9438023775274103,0.3560606060606061,35.56116580963135,584775
11,15,0.005,3,2,1.7443485294688832,0.4375,1.5627592952323683,0.516969696969697,31.858502864837646,584775
11,15,0.005,3,3,1.4324921408566562,0.5753787878787879,1.318487005811749,0.6281818181818182,32.63046097755432,584775
11,15,0.005,3,4,1.2281607707341513,0.6601515151515152,1.1531245338555538,0.6918181818181818,33.18722891807556,584775
11,15,0.005,3,5,1.0881817449222912,0.7128787878787879,1.0386484561544476,0.7337878787878788,31.980122804641724,584775
12,15,0.005,1,1,2.3245867240790163,0.15787878787878787,2.209258058721369,0.17393939393939395,32.31925868988037,584775
12,15,0.005,1,2,2.108936414574132,0.22333333333333333,2.0686807493730024,0.2509090909090909,31.884287118911743,584775
12,15,0.005,1,3,1.9853592037432122,0.29174242424242425,1.959387308323022,0.3131818181818182,31.970247507095337,584775
12,15,0.005,1,4,1.8808058704029431,0.35393939393939394,1.8611897352970008,0.37136363636363634,31.941927433013916,584775
12,15,0.005,1,5,1.7873617922176015,0.4103787878787879,1.7731767869718147,0.4177272727272727,31.9636812210083,584775
12,15,0.005,2,1,2.7513201800259677,0.08757575757575757,2.516975618420225,0.09606060606060605,31.799153566360474,584775
12,15,0.005,2,2,2.411143981471206,0.1328030303030303,2.3450847380089037,0.14909090909090908,31.876195430755615,584775
12,15,0.005,2,3,2.268401444464019,0.1821969696969697,2.2132843202533143,0.1987878787878788,32.00596213340759,584775
12,15,0.005,2,4,2.1448381620464905,0.22992424242424242,2.094161115848657,0.25727272727272726,31.890605688095093,584775
12,15,0.005,2,5,2.032190786852981,0.2853787878787879,1.9856564190893462,0.3137878787878788,31.807301998138428,584775
12,15,0.005,3,1,2.7376222422628693,0.0809090909090909,2.5477198462052777,0.10545454545454545,31.959467887878418,584775
12,15,0.005,3,2,2.4483483415661436,0.12295454545454546,2.3751755142211914,0.13303030303030303,31.846816301345825,584775
12,15,0.005,3,3,2.301920063278892,0.16128787878787879,2.240050119342226,0.18333333333333332,31.802026748657227,584775
12,15,0.005,3,4,2.175079828898112,0.21727272727272728,2.118810278863618,0.2412121212121212,31.930575370788574,584775
12,15,0.005,3,5,2.0592380393635143,0.2759848484848485,2.008259872667717,0.3021212121212121,31.953661918640137,584775
